"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","True Colors","0.25289256198347104"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","The Best of Me","0.2643356643356643"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","East of Eden","0.26409090909090904"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","American Flyers","0.27107438016528923"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","Home in Indiana","0.37503496503496503"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","The Burning Plain","0.2515151515151515"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","Silk","0.2545454545454545"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","The Sun Comes Up","0.2683471074380165"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","Heading South","0.2545454545454545"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","Mercy Island","0.2618181818181818"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","Ruby Gentry","0.29404040404040405"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","Bahama Passage","0.26636363636363636"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","The Great Sinner","0.26696969696969697"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","A Girl Named Tamiko","0.26289256198347105"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","Demetrius and the Gladiators","0.3127272727272727"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","All I Desire","0.3064935064935065"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","Golden Gate","0.25034965034965034"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","Under the Volcano","0.30606060606060603"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","The Company Men","0.2696969696969697"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","The Caretakers","0.2606060606060606"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","Tape","0.2545454545454545"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","Jesus of Montreal","0.2545454545454545"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","The Young Philadelphians","0.26929292929292925"
"Beneath the 12-Mile Reef|Beneath the 12-Mile Reef (fullscreen)|Beneath the 12-Mile Reef (widescreen)","Ain't Them Bodies Saints","0.2590909090909091"
